Service,Relational Database Service($),Tax($),Elastic Container Service($),EC2-Other($),EC2-Instances($),Registrar($),CloudWatch($),EC2-ELB($),Key Management Service($),Route 53($),Budgets($),Elastic Container Service for Kubernetes($),CloudTrail($),S3($),EC2 Container Registry (ECR)($),Secrets Manager($),Amplify($),Lambda($),SNS($),SQS($),Glue($),Service Catalog($),Cognito($),Data Transfer($),Total cost ($)
Service Total, $52.08 , $36.01 , $27.93 , $26.65 , $19.16 , $11.00 , $10.91 , $10.68 , $10.00 , $3.04 , $0.04 , $0.03 , $0.02 , $0.02 , $0.01 , $0.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $(0.11), $207.47 
11/1/2022, $0.45 , $33.70 ,, $1.24 ,,, $-   ,, $0.33 ,,,, $0.00 , $0.00 ,, $0.00 , $-   , $-   , $-   , $-   ,,,,, $35.73 
11/2/2022, $0.45 ,,, $1.24 ,,, $-   ,, $0.33 ,,,, $0.00 , $0.00 ,, $0.00 , $-   , $-   , $-   , $-   ,,,,, $2.03 
11/3/2022, $0.45 ,,, $1.24 ,,, $-   ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 ,, $-   , $-   , $-   ,,,,, $2.03 
11/4/2022, $0.45 ,,, $1.22 , $0.08 ,, $0.30 ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 ,, $-   , $-   , $-   ,,,,, $2.39 
11/5/2022, $0.45 ,,, $1.24 ,,, $0.30 ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 , $-   , $-   , $-   , $-   ,,,,, $2.33 
11/6/2022, $1.29 ,,, $1.21 , $0.01 ,, $0.31 ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 ,, $-   , $-   , $-   ,,,,, $3.15 
11/7/2022, $1.66 ,,, $0.70 , $0.16 ,, $0.31 ,, $0.33 ,, $0.01 ,, $0.00 , $0.00 ,, $0.00 , $-   , $-   , $-   , $-   ,,,,, $3.18 
11/8/2022, $2.59 ,,, $0.63 , $0.58 ,, $0.31 ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 , $-   , $-   , $-   , $-   ,,,,, $4.45 
11/9/2022, $2.38 ,,, $0.66 , $0.56 ,, $0.31 ,, $0.33 ,, $-   ,, $0.00 , $0.00 ,, $0.00 ,, $-   , $-   , $-   , $-   ,,,, $4.25 
